"D1","Territorio","D2","Tipo dato","D7","Sesso","D8","Classe di età","D9","Paese di nascita","D10","Qualifica professionale","D13","Seleziona periodo","Value","Flag Codes","Flags"
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","IT","Italia","2","dirigente","2016","2016",47822.5,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","IT","Italia","2","dirigente","2017","2017",48026.65,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","IT","Italia","4","impiegato","2016","2016",706671.15,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","IT","Italia","4","impiegato","2017","2017",725689.13,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","IT","Italia","7","apprendista","2016","2016",53224.47,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","IT","Italia","7","apprendista","2017","2017",58855.63,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","IT","Italia","27","altro dipendente","2016","2016",11641.36,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","IT","Italia","27","altro dipendente","2017","2017",12273.23,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","WORLD","Mondo","3","quadro","2016","2016",141886.96,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","WORLD","Mondo","3","quadro","2017","2017",146457.48,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","WORLD","Mondo","4","impiegato","2016","2016",736627.72,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","WORLD","Mondo","4","impiegato","2017","2017",757759.25,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","WORLD","Mondo","6","operaio","2016","2016",1459024.12,,
