;CODICE;DESCRIZIONE;;;;;
1;A;AGRICOLTURA, SILVICOLTURA E PESCA;;;;;
2;01;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;;;;;
3;01.11.10;Coltivazione di cereali (escluso il riso);;;;;
4;01.11.20;Coltivazione di semi oleosi;;;;;
5;01.11.30;Coltivazione di legumi da granella;;;;;
6;01.11.40;Coltivazioni miste di cereali, legumi da granella e semi oleosi;;;;;
7;01.12.00;Coltivazione di riso;;;;;
8;01.13.10;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate);;;;;
9;01.13.20;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate);;;;;
10;01.13.30;Coltivazione di barbabietola da zucchero;;;;;
11;01.13.40;Coltivazione di patate;;;;;
12;01.14.00;Coltivazione di canna da zucchero;;;;;
13;01.15.00;Coltivazione di tabacco;;;;;
14;01.16.00;Coltivazione di piante per la preparazione di fibre tessili;;;;;
15;01.19.10;Coltivazione di fiori in piena aria;;;;;
16;01.19.20;Coltivazione di fiori in colture protette;;;;;
17;01.19.90;Coltivazione di piante da foraggio e di altre colture non permanenti;;;;;
18;01.21.00;Coltivazione di uva;;;;;
19;01.22.00;Coltivazione di frutta di origine tropicale e subtropicale;;;;;
20;01.23.00;Coltivazione di agrumi;;;;;
21;01.24.00;Coltivazione di pomacee e frutta a nocciolo;;;;;
22;01.25.00;Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio;;;;;
23;01.26.00;Coltivazione di frutti oleosi;;;;;
24;01.27.00;Coltivazione di piante per la produzione di bevande;;;;;
25;01.28.00;Coltivazione di spezie, piante aromatiche e farmaceutiche;;;;;
26;01.29.00;Coltivazione di altre colture permanenti (inclusi alberi di Natale);;;;;
27;01.30.00;Riproduzione delle piante;;;;;
28;01.41.00;Allevamento di bovini e bufale da latte, produzione di latte crudo;;;;;
29;01.42.00;Allevamento di bovini e bufalini da carne;;;;;
30;01.43.00;Allevamento di cavalli e altri equini;;;;;
